code_subclass,freq_subclass
B21G,18
A63K,19
C12F,20
G10F,20
A63D,22
D01B,23
G06E,23
D04D,25
B01B,26
B02B,26
C09F,29
B31C,29
F16S,32
C23D,32
G10G,34
G12B,35
C06D,35
B68C,36
F03H,38
F15C,41
D03J,41
B60F,43
A01L,43
H05F,44
G16H,44
C06C,45
D06Q,45
F16T,51
D21J,51
A41G,52
F24V,58
B68G,60
G10C,61
H03C,62
B44D,63
B27C,63
F22D,64
B43M,66
F23H,69
E05G,69
D03C,70
E21F,71
C10C,71
F22G,71
C12H,73
B33Y,73
G06M,73
B27L,74
C07G,74
G21B,75
B61H,77
F28C,77
A41H,78
G04D,78
A41F,78
H01K,79
D05C,80
B43L,81
D06H,81
H03J,82
B27F,82
A63J,82
B23G,85
F41F,85
C05B,88
A22B,91
B42B,93
B61K,93
B61G,94
D04C,94
G04R,96
B44B,97
B41K,98
C13B,98
C05D,101
G21G,106
C14C,108
G06G,110
C05C,111
D06L,111
B21H,111
B64B,112
F28G,112
G03C,116
H04K,123
D02J,125
C14B,125
A46D,126
C09G,126
D06C,126
B27D,128
F15D,130
G04F,130
F28B,130
B62L,132
B27G,133
F41J,133
G04C,135
G01W,136
C25F,138
B31D,139
B09C,140
C01C,143
A43D,145
F03C,148
A61D,148
F24B,150
D21B,150
B63J,150
F21L,152
A47H,153
D21D,156
A41B,158
B42F,158
A23N,160
C12G,161
B25G,161
F41C,162
B27M,162
B62H,163
F23B,165
A41C,168
A63G,168
A45B,171
B03B,171
G10D,172
E01D,172
B28C,173
B44F,175
H03B,179
C06B,182
B61C,183
B21F,183
G09C,184
C01D,186
B27K,189
D21G,190
F04F,191
F42D,193
F16P,194
F23Q,195
B61B,196
C08H,196
F41B,196
F17D,198
C13K,201
D01G,202
C05G,202
D06B,204
C23G,205
F23M,207
F23K,208
B03D,209
B67B,213
F42C,215
H05G,217
A62D,219
G07G,221
A21B,224
B63G,233
F01B,245
H03D,248
E21C,251
A23P,252
F02G,252
A47D,255
G21D,255
F24S,258
E06C,262
E01H,265
B23F,265
C12C,269
B60M,271
B61F,277
E21D,278
B31F,280
B25H,282
C25C,284
B27N,285
B42C,287
A43C,292
D05B,293
E03B,295
H02S,298
G01Q,301
B41C,303
A45F,306
G07B,307
G04G,315
A01J,317
B41N,321
B04C,321
B63C,323
B21K,326
D06N,330
F16N,343
C11C,343
C05F,344
B65F,345
A21C,345
A24C,349
B82B,351
A24B,359
F23L,362
G01H,362
B26F,370
F25C,376
A23F,379
B09B,387
B25C,387
B06B,391
B23H,391
C10K,396
C21B,397
A44C,399
D07B,402
G03H,404
A42B,405
B07C,410
B64F,419
A24F,424
D06P,424
F25J,425
G21K,426
D02G,434
B24C,434
C07J,438
E03F,438
B27B,445
B28D,446
F23J,458
A23J,459
B81C,461
B43K,470
G10H,473
B81B,474
H01C,475
B64G,476
G06N,482
C23F,487
C08C,487
D01H,498
B66D,498
F03G,501
H03G,510
C40B,516
B60D,518
A01F,519
A22C,520
B21J,521
E01F,522
E03D,532
B65C,543
B04B,543
C01F,544
A23D,549
B22C,551
B67C,556
C21C,557
F02P,560
A01M,560
G05F,560
F23C,562
B25D,564
H02N,582
F01M,593
A23B,593
H03L,600
E01B,606
B21C,607
F23G,610
F21W,610
G05G,611
B61D,611
F41G,612
E02B,614
F02F,618
B07B,618
F01C,631
A21D,636
F16G,636
E03C,642
A24D,645
B44C,647
A45C,649
A44B,653
D01D,654
A63H,655
C11B,658
F23N,661
G08C,663
D21C,670
A01C,684
B26B,684
G21F,685
B23C,688
H04S,692
B60P,694
F02N,702
C10B,703
A47F,712
F01P,714
B25F,737
A47G,742
F22B,773
B24D,781
A01B,792
C10J,796
B31B,798
C12R,804
F41H,804
A63C,808
G01G,821
B03C,826
B61L,838
G10K,839
D21F,856
H02B,861
E05C,872
A46B,878
F16M,898
D04B,902
H01T,903
F21K,904
C22F,907
E04D,911
F41A,914
B62B,919
A62C,928
H05H,949
A62B,950
B62M,955
B23D,977
H01P,1008
C08B,1013
F17C,1024
G07D,1026
B28B,1029
B62J,1034
C07B,1035
B30B,1039
D03D,1040
B60S,1043
A01H,1067
B63H,1068
E01C,1075
G04B,1089
A23C,1090
B23P,1096
B67D,1123
A47K,1130
F03B,1142
B05C,1142
F27B,1146
F27D,1150
B66F,1150
B21B,1158
F42B,1165
F23D,1168
G07C,1174
H03H,1182
A41D,1184
E02D,1196
G01T,1208
E04G,1222
G01K,1238
B60B,1244
B60H,1244
H04Q,1320
C25B,1325
F26B,1328
C09C,1353
D01F,1358
A61H,1370
H04H,1371
G09B,1377
F24H,1386
G01P,1388
E04C,1396
B60Q,1399
F01L,1408
G02C,1422
B42D,1454
C09B,1455
F02K,1471
F01K,1476
B25B,1486
B29B,1494
C22B,1498
B60J,1504
B62K,1508
B66C,1511
G07F,1519
A01D,1519
B29L,1523
B02C,1543
F24C,1550
A01G,1552
G21C,1555
A63F,1568
E05D,1595
C01G,1609
