code_subclass,freq_subclass
G12B,55
D03J,56
H02L,57
B21G,60
B61J,62
C09F,63
G60Q,63
G60F,64
B06L,65
H06F,66
B10J,72
Y01S,73
D01B,74
G06B,75
C23D,77
B21L,79
H01N,81
B31C,88
G10F,93
B68B,97
H10L,98
D05D,107
B01B,109
D04D,110
B41L,116
B27D,120
F16T,123
A63K,124
C06C,127
G06E,129
B02B,132
C12F,136
A42C,137
F24V,139
D21J,151
C14B,151
B60V,153
G21H,154
C06D,160
D06Q,164
F23H,177
D06H,179
B27L,181
F15C,183
B27C,190
A01L,192
B42P,196
A44D,199
G04D,201
B27F,205
D03C,211
B68C,220
H04I,230
B44B,236
B27M,251
F22G,252
C07G,256
C14C,257
F22D,277
F23B,284
B43M,287
A41H,296
D21G,299
D01G,300
C10C,300
G21B,303
C13B,312
B68G,315
C12H,320
A63D,322
D21D,328
B21H,332
F24T,334
G10C,336
D06L,339
F28B,350
D02J,359
F41F,370
B82B,372
B61K,373
D01H,381
B42B,389
F03H,389
B41K,398
B27G,401
F03C,410
G06M,416
B61G,423
G03C,425
D21B,428
H01I,436
B60M,436
B61H,442
B60F,445
A63J,448
D06C,453
H05F,456
F28G,459
B23G,491
F28C,492
E21F,514
C12G,516
B63J,524
D06B,526
A24C,526
B28C,545
C05B,550
F23M,565
A22B,583
B62L,593
B27N,597
G21D,605
G10G,615
C23G,619
H01K,622
G04R,655
A61P,656
G09C,660
F16P,661
A46D,661
G21G,670
C01C,676
E01D,680
E05G,690
C05C,691
D05C,700
B44F,701
B62H,701
C05D,722
C12C,726
B03B,744
F15D,744
G21Y,747
H03C,748
B44D,760
B41P,785
D04C,794
F42D,806
C25F,808
F24B,842
C08H,857
B43L,867
F23Q,870
A41G,873
G04C,885
A23N,896
B27K,899
B41N,913
B42C,923
B61B,925
B21F,928
C09G,930
B61C,936
A41F,941
F42C,942
F04F,946
A21B,948
B31D,955
C06B,955
B09C,962
B64B,969
A61D,976
C01D,980
F05C,1002
A23J,1012
B67B,1015
B61F,1027
B23F,1036
G01W,1043
F41J,1060
A23Y,1084
C13K,1103
B09B,1105
H03J,1106
A62D,1118
G06G,1128
F23L,1130
C08C,1164
A43D,1194
E03B,1212
C21C,1213
G04F,1227
F23K,1231
B21K,1237
F01B,1249
A21C,1261
A47H,1270
B42F,1271
B25C,1307
C25C,1308
A41C,1342
B63G,1348
F02G,1373
C05G,1373
A23F,1392
D02G,1484
A01J,1489
C12R,1516
B67C,1524
F17D,1532
B04C,1535
A63G,1551
B03D,1554
E21D,1584
D06P,1603
D21F,1624
E01B,1634
B28D,1658
G07G,1670
C05F,1674
F16N,1680
C11C,1685
B27B,1688
B66D,1695
C21B,1725
C40B,1735
A23P,1736
B31F,1746
B23H,1763
E21C,1788
E01H,1791
E03F,1795
A24B,1798
B24C,1806
B61D,1810
B26F,1828
B41C,1829
G01H,1852
A41B,1867
G07B,1894
B25G,1918
B25H,1927
D04B,1949
C01F,1971
A23D,1974
A45B,1983
H04K,2005
G04G,2040
E06C,2106
A23B,2118
A24D,2124
D05B,2142
F21L,2146
E01F,2171
C07J,2173
D06N,2189
B44C,2212
G01Q,2229
E03D,2239
C10K,2244
A01F,2244
B65C,2284
A21D,2299
B07C,2317
F16G,2368
B04B,2372
B63C,2390
G21F,2398
B43K,2423
F22B,2463
A22C,2473
A43C,2497
H03D,2503
F03G,2503
B25D,2512
B21J,2514
B21C,2523
B64F,2593
B25F,2607
C22F,2613
F23J,2616
F23C,2634
H02B,2665
B07B,2735
A47D,2747
B22C,2771
B06B,2774
G10D,2802
F25C,2818
B60D,2871
H05G,2873
D21C,2940
D01D,2961
F01C,2966
A24F,2982
F41C,3003
C10B,3025
F27B,3027
H01C,3079
A44C,3088
G05G,3115
F23G,3189
Y02C,3222
B30B,3241
A23C,3320
D03D,3338
H01T,3391
C23F,3466
F02P,3506
B64G,3598
E03C,3617
F02F,3678
E05C,3693
F23N,3785
F24C,3785
B28B,3812
F21W,3853
C07B,3854
G21K,3857
F41B,3866
B24D,3872
F24D,3886
H02N,3925
B62J,3926
B21B,3941
F03B,3966
D07B,3991
G01G,3993
F27D,4035
B65F,4055
D01F,4113
B23D,4124
E02B,4132
G04B,4185
B61L,4195
A44B,4208
C11B,4298
G21C,4303
C08B,4374
D10B,4393
C09C,4401
B62M,4466
B66F,4584
A42B,4586
A62C,4596
F24J,4634
F24H,4635
B66C,4768
A62B,4777
B26B,4783
F01M,4911
B60Y,4923
A63C,4982
A01M,5008
H03B,5022
E04G,5051
A01B,5067
F23D,5079
F26B,5202
A01C,5213
Y02W,5229
B66B,5244
B33Y,5286
A23G,5293
F41G,5295
F02K,5307
F41H,5339
G07D,5399
F01K,5444
B31B,5606
B03C,5650
B60P,5660
E02D,5733
H05H,5749
F01P,5804
A47K,6095
D04H,6112
H02S,6236
E05D,6244
H04S,6299
D06M,6343
E05F,6354
B41F,6390
B23C,6400
B63H,6402
G10K,6404
E04D,6543
C01G,6560
H03G,6588
C22B,6601
E01C,6667
C25B,6690
A63H,6769
B02C,6808
C09B,6812
B60S,7022
B42D,7056
A01D,7150
F42B,7382
A45F,7473
G03H,7553
B22D,7631
F02N,7742
B05C,7866
B29B,7885
B60H,7927
F23R,7929
B23Q,7964
G08C,7985
B26D,8036
A47F,8175
A01G,8238
B60J,8270
H01P,8310
E05Y,8337
G01K,8340
A23K,8438
G05F,8480
G01P,8662
E04C,8676
C07H,8715
F16J,8807
B62K,8937
A23V,8941
F25J,8962
A46B,9053
B67D,9157
Y04S,9165
F41A,9197
F24S,9213
G01T,9336
B81C,9436
F05B,9631
B23P,9709
B08B,9800
A01H,9810
D21H,10418
C10J,10470
G10H,10478
B21D,10495
B41M,10594
A45C,10835
B60B,10922
A47G,10929
F28D,10933
B81B,10974
G02C,10992
C10N,11208
C03B,11231
B62B,11258
A41D,11342
A45D,11467
E04H,11536
H03L,11576
H02G,11623
C25D,11653
H02H,11680
B29D,11944
B24B,11971
F21K,12190
D06F,12211
C12M,12310
G01M,12334
C30B,12436
G01D,12440
F01L,12584
B25B,12678
H04H,12854
G16H,12913
B23B,13159
C12Y,13223
F28F,13364
B60Q,13366
B63B,13558
G01L,13567
A61J,13824
F25D,13890
G09F,14479
B29L,14542
F02C,14585
C21D,14660
F16F,14737
F04C,15107
B22F,15220
G01F,15381
E04F,15667
F03D,15713
F15B,15907
B25J,16106
G07C,16109
F16M,16113
G09B,16291
Y02A,16322
A47J,16695
A47C,17083
E02F,17145
E06B,17202
H04Q,17289
E05B,17396
G06N,17497
B64D,17498
C01P,17504
F02B,17837
B05D,17861
H01B,18122
A43B,18479
A47B,18607
F21Y,18622
C10L,18657
C07F,19516
A61G,19572
B65B,19771
A61C,19772
H03H,20112
G01V,20193
F16B,20340
F21S,20372
H02P,20514
B60G,21136
F17C,21215
F04B,21241
C03C,21279
B60T,21298
B64C,21638
F24F,21949
C11D,22294
B60C,22324
A47L,22390
A01K,22446
E04B,22456
G05D,22716
C10M,22752
F25B,22826
B65G,22834
C09J,22846
B29K,23337
Y02P,23553
C12P,23631
B82Y,24312
B01F,24392
F05D,24786
A61Q,25252
G08G,25274
F16L,25311
H04J,25334
B60N,25383
F04D,25404
B05B,25541
Y02B,25544
H01G,26266
G01B,26477
F16K,26714
G08B,27804
G01J,28249
G03B,28552
F01D,29181
A61H,29288
A23L,30067
F02M,30159
F16D,30644
C10G,31745
H01F,31909
B62D,32400
G01C,34199
H03K,35706
C08J,35717
H01H,35743
F16C,36242
G10L,37809
C22C,38715
G05B,38849
C01B,39319
C08F,39386
A01N,39745
G07F,39821
C09D,40058
B60K,40264
C08K,42144
H02K,43414
F01N,43632
H03M,44362
H01Q,45270
H03F,45684
H02M,45812
H01S,45868
F02D,47707
G03F,48152
Y10S,48821
C09K,49310
Y02D,49328
B60R,51443
H05B,52331
A63F,52868
C02F,52980
B01L,53468
B23K,53696
F16H,54445
C12Q,54666
F21V,55074
H04R,57695
C08L,59054
C23C,59362
C08G,59678
G01S,60334
B65H,61611
Y02E,62465
H01J,67562
G11B,67770
H02J,67884
H01R,69928
E21B,70281
B60W,72787
A61L,73526
B60L,73591
C04B,73842
B41J,75103
G01R,75580
A61N,82597
B65D,85137
G03G,86082
Y02T,89828
C07C,95959
G02F,96538
A63B,105547
H04M,116964
G06K,122983
B01J,123977
C07K,124746
G11C,126454
B29C,127597
B01D,129325
H04B,131948
H05K,133050
G09G,139212
B32B,144813
C12N,147429
G06T,164035
C07D,166741
G02B,189905
H01M,198597
A61M,212740
A61F,225303
G01N,230069
G06Q,248308
Y10T,256034
H04W,416164
A61K,505963
H04N,603279
A61B,624647
H04L,737282
G06F,1088590
H01L,1440366
