code_subclass,freq_subclass
G21B,101
A63D,107
B41L,107
F22D,108
D02J,109
B21H,109
A63J,110
C12H,110
B60F,112
F24V,114
D01G,114
C10C,115
A41H,115
F41F,115
B61K,122
B68G,123
D21B,125
B63J,126
D01H,129
B42B,132
B60M,134
C07G,134
F15C,135
C13B,140
F28G,141
G10C,143
F23M,143
G21D,148
B23G,148
B61G,150
C23G,154
F28C,155
B41K,156
B27G,156
B82B,157
B28C,159
D06L,167
G16H,169
E21F,177
B62H,178
B61H,179
D06B,179
C12G,181
F16P,183
A46D,183
A22B,186
F23K,192
B31D,198
A24C,198
G06E,199
D06C,200
G10G,200
H03J,202
G09C,209
G06M,213
B44D,218
C08H,224
D04C,224
F42D,225
B62L,226
C05B,227
B27N,231
G04R,241
E05G,250
B27K,255
A41G,256
C12C,257
G21G,260
C01C,260
B43L,261
B41C,261
D05C,263
F42C,267
C05D,270
A43D,278
B03B,278
B44F,279
H05F,280
G03C,280
E01D,284
B09B,285
F15D,286
A23N,293
F24B,298
C05C,302
A41F,303
C21C,304
F23L,310
C09G,319
B41N,320
B42C,320
B61B,321
C25F,321
D06N,328
A01P,330
B21F,332
G04C,332
H01K,335
B23F,337
B64B,337
C13K,338
B09C,339
F41J,346
A23P,347
B61F,349
A21B,351
B04C,351
D07B,354
F23Q,359
C08C,359
F04F,360
G04F,366
B03D,370
B61C,371
G01W,377
A21C,379
C01D,387
H03C,387
B42F,388
B31F,393
C05G,406
C06B,417
F23J,418
E03F,425
A61D,425
B63G,432
D06P,432
E03B,434
A62D,438
G07G,442
C11C,455
B67B,455
B67C,456
F03C,462
C21B,465
A23J,472
A41C,474
B25C,480
E21D,482
C05F,490
F16N,496
F24S,503
F21W,520
C10K,522
C25C,522
D21F,523
A41B,524
C12R,527
B28D,527
B25H,529
A45B,538
B21K,544
E01H,544
A23F,555
E01B,559
B24C,560
A63G,564
G04G,567
C07B,576
B26F,577
A01J,578
A47H,583
F23G,585
F23C,591
G01H,591
B06B,592
B23H,592
D04B,600
F01B,602
F23N,602
G07B,613
A43C,620
B61D,622
F02G,622
E21C,628
F25J,633
B04B,641
B25D,645
B66D,650
D02G,654
A24B,655
B27B,662
A21D,676
F17D,676
B65F,679
A23D,681
A24D,682
C01F,686
E06C,688
E01F,698
B25G,700
B65C,714
A23B,716
A22C,718
F22B,721
A01F,735
C07J,741
B63C,743
B21C,750
D21C,758
F25C,762
F24D,778
B07C,780
B64F,792
G21F,795
D05B,796
B43K,796
G01Q,802
B21J,830
F21L,853
B60D,860
B25F,869
B61L,872
D01D,876
E03D,889
F16G,895
B07B,897
B30B,900
B22C,920
F02P,930
C10B,933
F03G,936
F27B,941
A47D,942
C22F,943
H04S,953
B64G,955
H01C,955
A44C,993
H03D,1000
F01C,1019
H02S,1026
G10D,1033
E03C,1042
H05G,1049
F41C,1061
C40B,1083
C09C,1085
H02B,1089
C11B,1112
G03H,1120
H01T,1132
B44C,1134
A23C,1136
F02F,1140
B21B,1153
C10J,1154
G07D,1162
E02B,1197
B23C,1197
F01M,1199
D03D,1201
B62J,1210
G05G,1233
G01G,1241
B03C,1254
F24C,1268
A24F,1287
F23D,1289
F27D,1292
F02N,1295
H02N,1300
A63C,1307
F41B,1311
D01F,1316
B23D,1355
B28B,1373
H04K,1380
F01P,1388
H05H,1388
B29B,1392
G04B,1429
B31B,1430
B42D,1443
F17C,1448
G21K,1450
F41G,1454
A01C,1463
F24H,1482
A42B,1483
B62M,1490
A44B,1491
B81C,1528
G10K,1552
F41H,1576
D06M,1577
C08B,1583
F02K,1593
B66F,1593
B60S,1602
H03B,1607
A45F,1625
C09B,1630
B81B,1641
F03B,1642
G21C,1649
B29L,1654
A23G,1656
E04G,1666
C23F,1667
F23R,1669
B26B,1673
B60H,1675
B66C,1706
B24D,1709
E05C,1713
B66B,1738
G10H,1771
A01M,1792
A01B,1830
A62C,1853
F26B,1892
E05F,1899
B60B,1903
B29K,1924
E04D,1928
B60P,1946
E05D,1956
F01K,1963
A47K,1990
B41F,2023
C01G,2024
A46B,2024
A23K,2028
E02D,2048
D04H,2052
E01C,2158
G06G,2189
A62B,2221
H03G,2232
A63H,2245
B63H,2265
A45C,2328
F21Y,2340
F24J,2341
C22B,2341
F15B,2400
F42B,2428
A01D,2429
B62K,2433
A47F,2504
B02C,2505
B62B,2530
B41M,2546
F28D,2569
F16J,2578
B26D,2614
B60J,2629
B22D,2637
F01L,2655
C25B,2659
E04C,2708
A61J,2771
B23Q,2776
G08C,2801
B60G,2829
B05C,2841
H01P,2857
B23B,2872
C10M,2891
C03B,2914
F41A,2953
E04F,2961
G01P,2984
G02C,2985
A61H,3014
A01G,3061
G01K,3074
F21K,3114
C21D,3116
D21H,3123
B67D,3188
G07C,3194
A45D,3236
A41D,3239
H04Q,3270
D06F,3275
B22F,3300
F28F,3319
G01T,3340
F04C,3416
H02G,3438
C10L,3527
A47G,3554
F25D,3579
F21S,3659
B29D,3659
F24F,3668
C25D,3688
H03L,3728
E02F,3764
A61G,3802
E04H,3927
B21D,3992
B63B,3996
G01D,4013
C30B,4025
B01L,4030
C12M,4033
B08B,4035
B60Q,4169
F03D,4319
B24B,4349
B25B,4351
