code_subclass,freq_subclass
G06J,1
C10H,1
B62C,2
G10B,2
G03D,2
C06F,2
G06C,3
G09D,3
E02C,3
C10F,3
B68F,4
B41D,4
D06J,4
C09H,4
D04G,4
B41G,5
B27H,5
D06G,6
C12J,6
F16S,7
F24J,8
H05C,9
G12B,10
B27J,10
D01C,10
D02H,12
B61J,14
B41L,15
B68B,16
G06E,16
G21H,17
G10F,18
D01B,18
F27M,18
F15C,21
A42C,21
B21L,22
A63K,22
D04D,24
D05D,24
B01B,25
B60V,26
C09F,27
B02B,27
B31C,29
A63D,29
B21G,30
A44D,32
C12F,34
G10G,36
C23D,36
G06G,40
F16T,42
A01L,43
H05F,44
B82B,48
D03J,50
C06C,51
B42P,53
D21J,54
B68C,55
D06Q,58
C06D,59
F03H,62
F24V,62
B68G,65
G10C,66
C10C,68
B27C,68
B44D,70
A41H,70
C07G,73
D06H,74
A41G,76
H01K,76
B27L,76
F23H,78
E21F,81
F22D,82
A63J,84
C12H,84
F22G,86
B27F,87
B60F,88
G21B,89
D05C,91
B43M,94
F41F,95
D03C,95
